1442721600,67.8
1442725200,68.32
1442728800,68.45
1442732400,68.92
1442736000,69.64
1442739600,68.88
1442743200,68.87
1442746800,67.6
1442750400,67.23
1442754000,67.42
1442757600,68.07
1442761200,68.44
1442764800,68.41
1442768400,70.16
1442772000,70.3
1442775600,70.69
1442779200,69.93
1442782800,68.79
1442786400,66.31
1442790000,62.2
1442793600,58.8
1442797200,56.56
1442800800,54.6
1442804400,53.7
1442808000,52.13
1442811600,46.84
1442815200,45.51
1442818800,44.16
1442822400,44.11
1442826000,43.53
1442829600,42.4
1442833200,43.59
1442836800,51.78
1442840400,56.41
1442844000,59.76
1442847600,62.55
1442851200,64.9
1442854800,66.25
1442858400,67.53
1442862000,68.04
1442865600,66.98
1442869200,66.12
1442872800,63.45
1442876400,59.21
1442880000,55.24
1442883600,54.0
1442887200,52.8
1442890800,51.47
1442894400,49.88
1442898000,50.22
1442901600,49.3
1442905200,47.75
1442908800,51.42
1442912400,51.9
1442916000,52.75
1442919600,52.87
1442923200,54.39
1442926800,57.17
1442930400,59.38
1442934000,61.62
1442937600,64.11
1442941200,65.48
1442944800,66.94
1442948400,67.3
1442952000,66.87
1442955600,65.35
1442959200,64.16
1442962800,61.29
1442966400,59.8
1442970000,56.72
1442973600,54.95
1442977200,52.19
1442980800,50.45
1442984400,48.51
1442988000,47.44
1442991600,46.43
1442995200,44.42
1442998800,43.44
1443002400,45.25
1443006000,42.96
1443009600,48.87
1443013200,56.09
1443016800,62.34
1443020400,66.67
1443024000,69.24
1443027600,72.57
1443031200,73.95
1443034800,71.0
1443038400,75.57
1443042000,74.66
1443045600,72.03
1443049200,63.53
1443052800,58.38
1443056400,57.17
1443060000,54.82
1443063600,53.68
1443067200,52.54
1443070800,51.67
1443074400,51.53
1443078000,51.54
1443081600,50.97
1443085200,50.25
1443088800,50.26
1443092400,50.41
1443096000,55.78
1443099600,63.69
1443103200,68.1
1443106800,70.87
1443110400,72.44
1443114000,73.68
1443117600,74.18
1443121200,74.05
1443124800,74.76
1443128400,73.49
1443132000,71.65
1443135600,66.75
1443139200,60.99
1443142800,57.08
1443146400,54.93
1443150000,53.23
1443153600,52.83
1443157200,50.99
1443160800,51.67
1443164400,51.28
1443168000,48.04
1443171600,46.35
1443175200,46.31
1443178800,45.64
1443182400,52.01
1443186000,57.05
1443189600,60.38
1443193200,62.62
1443196800,63.33
1443200400,65.32
1443204000,66.51
1443207600,66.74
1443211200,67.12
1443214800,65.95
1443218400,64.4
1443222000,60.61
1443225600,58.12
1443229200,54.42
1443232800,52.28
1443236400,50.53


