###############################################
#
# Source: Ft Devens 1
#    Monitor on South Camp
#
# group:      mysql
# file:       weather
# database:
#   url:      http://devens1.vpn.wattsworth.net/nilmdb
#   path:     /mysql/weather
#
# start:      2014-06-23 10:37:35 -0400
# end:        2014-06-30 19:04:43 -0400
# total time: 7 days
# total rows: 9694
#
#The raw data file can be retrieved at the following URL:
# http://devens1.vpn.wattsworth.net/nilmdb/stream/extract?path=/mysql/weather&start=1403534255027964&end=1404169483181657
#
# to import in matlab run:
# 	nilm = importdata('thisfilename.txt')
#
# nilm.textdata: this help text
# nilm.data:     the data
#
# The data has 3 columns with the following format:
#
#  Column 1: Timestamp (microseconds)
#  Column 2: Outside Temp (deg F) 
#  Column 3: Solar Radiation (W/m^2) 
#
###############################################
1403534290000000, 72.9, 773.0
1403534351000000, 72.9, 777.0
1403534412000000, 73.2, 775.0
1403534471000000, 73.8, 780.0
1403534532000000, 74.1, 782.0
1403534592000000, 74.2, 784.0
1403534652000000, 74.3, 786.0
1403534712000000, 73.9, 789.0
1403534775000000, 73.7, 791.0
1403534835000000, 73.4, 789.0
1403534896000000, 73.1, 793.0
1403534956000000, 73.0, 793.0
1403535016000000, 73.1, 796.0
1403535077000000, 73.2, 793.0
1403535137000000, 73.1, 800.0
1403535199000000, 73.2, 800.0
1403535259000000, 73.4, 802.0
1403535320000000, 73.6, 803.0
1403535379000000, 73.8, 805.0
1403535441000000, 74.1, 809.0
1403535502000000, 74.0, 809.0
1403535562000000, 74.0, 810.0
1403535622000000, 74.4, 814.0
1403535682000000, 74.4, 814.0
1403535741000000, 74.4, 816.0
1403535801000000, 74.5, 821.0
1403535862000000, 74.8, 821.0
1403535922000000, 74.9, 821.0
1403535983000000, 74.5, 823.0
1403536043000000, 74.3, 824.0
1403536104000000, 74.5, 824.0
1403536164000000, 74.6, 828.0
1403536225000000, 74.6, 828.0
1403536286000000, 74.6, 831.0
1403536346000000, 74.7, 833.0
1403536407000000, 74.9, 835.0
1403536468000000, 75.1, 837.0
1403536529000000, 75.2, 837.0
1403536589000000, 75.2, 837.0
1403536650000000, 75.0, 837.0
1403536710000000, 75.1, 835.0
1403536770000000, 75.0, 838.0
1403536831000000, 75.0, 840.0
1403536892000000, 75.1, 844.0
1403536952000000, 75.1, 846.0
1403537013000000, 75.0, 847.0
1403537073000000, 75.1, 849.0
1403537133000000, 75.4, 851.0
1403537194000000, 75.6, 849.0
1403537254000000, 75.8, 849.0
1403537314000000, 75.8, 846.0
1403537375000000, 75.8, 853.0
1403537436000000, 75.7, 853.0
1403537496000000, 75.7, 853.0
1403537556000000, 75.8, 854.0
1403537616000000, 75.8, 853.0
1403537677000000, 75.7, 856.0
1403537737000000, 75.9, 856.0
1403537797000000, 76.1, 858.0
1403537857000000, 76.4, 860.0
1403537918000000, 76.4, 860.0
1403537978000000, 76.4, 861.0
1403538039000000, 76.4, 861.0
1403538099000000, 76.6, 861.0
1403538160000000, 76.7, 865.0
1403538220000000, 76.4, 867.0
1403538280000000, 76.0, 868.0
1403538340000000, 75.7, 870.0
1403538402000000, 75.5, 872.0
1403538462000000, 75.6, 870.0
1403538523000000, 76.1, 870.0
1403538583000000, 76.5, 872.0
1403538644000000, 76.6, 872.0
1403538704000000, 76.7, 874.0
1403538765000000, 76.8, 877.0
1403538825000000, 76.7, 881.0
1403538886000000, 76.5, 881.0
1403538946000000, 76.2, 881.0
1403539007000000, 76.2, 882.0
1403539067000000, 76.5, 881.0
1403539128000000, 76.7, 882.0
1403539189000000, 76.7, 884.0
1403539249000000, 76.8, 881.0
1403539309000000, 76.6, 882.0
1403539369000000, 76.3, 884.0
1403539430000000, 75.9, 886.0
1403539491000000, 75.9, 886.0
1403539552000000, 75.9, 886.0
1403539612000000, 76.0, 889.0
1403539672000000, 76.2, 893.0
1403539732000000, 76.7, 900.0
1403539793000000, 77.1, 905.0
1403539853000000, 77.4, 921.0
1403539914000000, 77.5, 926.0
1403539974000000, 77.2, 928.0
1403540035000000, 77.1, 932.0
